Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,US,CV4,Correctionville,Correctionville,IA,RL,--3-----,0607,,4228N 09547W,
,US,IGZ,Corrigan,Corrigan,TX,RQ,--3-----,1001,,3059N 09449W,
,US,CYP,Corry,Corry,PA,RL,--3-----,0307,,4155N 07938W,
,US,4CO,Corsica,Corsica,SD,RL,--3-----,1501,,4325N 09824W,
,US,CRS,Corsicana,Corsicana,TX,AI,--34----,0401,,3205N 09628W,
,US,CZL,Corte Madera,Corte Madera,CA,RQ,--3-----,9307,,,
,US,C5Z,Cortez,Cortez,FL,RL,--3-----,1607,,2727N 08240W,
,US,CEZ,Cortez,Cortez,CO,AI,---4----,0001,,,
,US,CJ8,Cortland,Cortland,IN,RL,1-3-----,1401,,3858N 08557W,
,US,CTX,Cortland,Cortland,NY,AI,---4----,9601,,,
,US,TND,Cortland,Cortland,IL,RL,--3--6--,0507,,4155N 08841W,
,US,ZB9,Cortland,Cortland,OH,RL,--3-----,1101,,4119N 08043W,
,US,C22,Corunna,Corunna,MI,RL,--3-----,1307,,4258N 08407W,
,US,OXQ,Corunna,Corunna,IN,RL,-23--6--,0507,,4126N 08508W,
,US,CVL,Corvallis,Corvallis,OR,RL,--3-----,0401,,4433N 12315W,
,US,YCV,Corvallis,Corvallis,MT,RL,-23--6--,0401,,4618N 11406W,
,US,CVO,Corvallis-Albany Apt,Corvallis-Albany Apt,OR,AI,---4----,9601,,,
,US,OWZ,Corwith,Corwith,IA,RL,--3-----,0901,,4259N 09357W,
,US,CY8,Cory,Cory,IN,RL,--3-----,0901,,3922N 08712W,
,US,CZB,Corydon,Corydon,IN,RQ,--3-----,9307,,,
,US,OCB,Cos Cob,Cos Cob,CT,RL,-23-----,0701,,4102N 07336E,
,US,7CB,Cosby,Cosby,MO,RL,--3-----,1801,,3951N 09440W,
,US,CB3,Cosby,Cosby,TN,RL,--3-----,0701,,3548N 08314W,
,US,CSC,Coshocton,Coshocton,OH,RQ,--3-----,9307,,,
!,US,CPS,Cosmopolis,Cosmopolis,WA,RQ,--3-----,9307,,,
,US,CZM,Costa Mesa,Costa Mesa,CA,RL,--3-----,0507,,3338N 11755W,
,US,IAO,Cotati,Cotati,CA,RL,-23--6--,0601,,3819N 12242W,
,US,OCZ,Coto de Caza,Coto de Caza,CA,RL,--3-----,0901,,3336N 11735W,
,US,C4C,Cottage City,Cottage City,MD,RL,--3-----,1301,,3856N 07656W,
,US,AGG,Cottage Grove,Cottage Grove,MN,RQ,--3--6--,0607,,4449N 09256W,
,US,CG3,Cottage Grove,Cottage Grove,WI,RL,-23-----,0701,,4304N 08912W,
,US,CG9,Cottage Grove,Cottage Grove,TN,RL,--3-----,1307,,3622N 08828W,
,US,QGV,Cottage Grove,Cottage Grove,IL,RL,--3-----,1401,,3744N 08824W,
,US,TGG,Cottage Grove,Cottage Grove,OR,RL,-23-----,0701,,4347N 12303W,
,US,2CH,Cottage Hills,Cottage Hills,IL,RL,--3-----,1301,,3854N 09004W,
,US,VXO,Cottleville,Cottleville,MO,RL,--3-----,1707,,3844N 09039W,
,US,OTA,Cotton Plant,Cotton Plant,AR,RL,--3--6--,0401,,3500N 09115W,
,US,TL9,Cotton Valley,Cotton Valley,LA,RQ,-----6--,0907,,3249N 09325W,
,US,CD3,Cottondale,Cottondale,AL,RL,-23--6--,0607,,3312N 08727W,
,US,CTM,Cottondale,Cottondale,FL,RQ,--3-----,9307,,,
,US,OTT,Cottonton,Cottonton,AL,RL,-23--6--,0401,,3208N 08504W,
,US,CT4,Cottontown,Cottontown,TN,RQ,--3--6--,0607,,3627N 08632W,
